heb_name_parsed,code,area_id,label,time_notes
אביאל,6,15,Aviel,One and a half minutes
אורנים,39,34,Oranim,One minute
אזור תעשייה נשר - רמלה,61,12,Nesher Industrial Zone (Ramla),One and a half minutes
אזור תעשייה תרדיון,78,23,Teradion Industrial Zone,One minute
אלמוג,121,18,Almog,One and a half minutes
אמץ,130,27,Amatz,One and a half minutes
אפרת,137,17,Efrat,One and a half minutes
אשבל,144,23,Eshbal,One minute
אשחר,148,23,Eshchar,One minute
בארי,164,26,Be'eri,15 Seconds
בית הלוי,186,27,Beit HaLevi,One and a half minutes
בית עובד,218,12,Beit Oved,One and a half minutes
ברוכין,257,10,Brukhin,One and a half minutes
ברטעה,260,13,Bart'a,One and a half minutes
ברעם,262,30,Baram,Immediately
ברקן,264,10,Barkan,One and a half minutes
ברקת,265,21,Bareket,One and a half minutes
ג'וליס,274,6,Julis,30 Seconds
ג'לג'וליה,275,27,Jaljulia,One and a half minutes
גאולי תימן,279,27,Geulei Teiman,One and a half minutes
גבעתי,309,22,Givati,45 Seconds
גדרה,315,22,Gdera,One minute
גינוסר,325,7,Ginosar,One minute
גן יבנה,337,22,Gan Yavne,45 Seconds
גן שורק,339,12,Gan Sorek,One and a half minutes
גני הדר,344,12,Ganei Hadar,One and a half minutes
גניגר,349,34,Genigar,One minute
געש,350,27,Ga'ash,One and a half minutes
געתון,351,30,Ga'aton,15 Seconds
דור,366,14,Dor,One minute
הדר עם,384,27,Hadar Am,One and a half minutes
הודיות,387,7,Hodayot,One minute
המרכז האקדמי רופין,395,27,Ruppin Academic Center,One and a half minutes
טמרה בגלבוע,493,34,Tamra (Gilboa),One minute
יבול,496,26,Yevul,15 Seconds
יושיביה,514,16,Yoshivia,15 Seconds
יפתח,533,30,Iftach,Immediately
ירדנה,541,4,Yardena,One minute
ישובי אמן,546,34,Amen Settlements,One minute
ישרש,550,12,Yashresh,One and a half minutes
כפר הס,602,27,Kfar Hess,One and a half minutes
כפר חרוב,615,5,Kfar Haruv,15 Seconds
כפר ידידיה,618,27,Kfar Yedidia,One and a half minutes
כפר תפוח,654,10,Kfar Tapuach,One and a half minutes
מאור,688,15,Maor,One and a half minutes
מבקיעים,698,19,Mavki'im,30 Seconds
מדרך עוז,714,13,Midrach Oz,One and a half minutes
מועאוויה,722,13,Mu'awiya,One and a half minutes
מזרעה,734,6,Mazra'a,30 Seconds
מסילת ציון,763,24,Mesillat Zion,One and a half minutes
מעברות,767,27,Ma'abarot,One and a half minutes
מענית,791,15,Ma'anit,One and a half minutes
מצליח,797,12,Matzliach,One and a half minutes
משמרת,832,27,Mishmeret,One and a half minutes
נועם,869,22,Noam,45 Seconds
נורית,878,34,Nurit,One minute
נחלה,881,22,Nachla,45 Seconds
ניר יפה,1329,34,Nir Yafeh,One minute
נעמה,921,3,Na'ama,One and a half minutes
עבדת,956,9,Ovdat,One and a half minutes
עין בוקק,983,18,Ein Bokek,One and a half minutes
עין שמר,1010,15,Ein Shemer,One and a half minutes
עינבר,1013,23,Inbar,One minute
עיר אובות,1015,29,Ir Ovot,One and a half minutes
פדיה,1051,12,Pdaya,One and a half minutes
פקיעין החדשה,1337,30,Peki'in HaHadasha,Immediately
פרדס חנה-כרכור,1067,15,Pardes Hana - Karkur,One and a half minutes
פרוד,1069,6,Farod,30 Seconds
פרזון,1325,34,Yael Settlements,One minute
קדומים,1096,10,Kdumim,One and a half minutes
קדימה-צורן,1097,27,Kadima - Zoran,One and a half minutes
קדמה,1099,22,Kedma,45 Seconds
קדש ברנע,1104,9,Kadesh Barneah,One minute
קורנית,1106,23,Koranit,One minute
קידה,1108,10,Kida,One and a half minutes
רשפון,1187,27,Rishpon,One and a half minutes
שבות רחל,1192,10,Shvut Rachel,One and a half minutes
שדה ניצן,1211,26,Sdeh Nitzan,15 Seconds
שהם,1222,21,Shoham,One and a half minutes
שלווה,1241,22,Shalva,30 Seconds
שער אפרים,1254,27,Sha'ar Efraim,One and a half minutes
שרשרת,1268,16,Sharsheret,30 Seconds
תעוז,1298,24,Taoz,One and a half minutes
תקומה,1349,26,Tkuma,15 Seconds
,,,,
קדרים,1103,6,Kadarim,One minute
אזור תעשייה רותם,72,9,Rotem Industrial Zone,One and a half minutes
חופית,444,27,Hofit,One and a half minutes
אל-ח'וואלד מערב,98,34,Al Khawaled - West,One minute
מבוא מודיעים,694,21,Mevo Modi'im,One and a half minutes
עספיא,1031,14,Isfiya,One minute
אזור תעשייה שער נעמן,76,6,Sha'ar Na'aman Industrial Zone,One minute
עמינדב,1024,20,Aminadav,One and a half minutes
כסייפה,575,9,Kuseife,One and a half minutes
כפר גלים,591,15,Kfar Galim,One minute
בית שקמה,230,19,Beit Shikma,30 Seconds
יד רמב''ם,507,12,Yad Rambam,One and a half minutes
נתניה,6023,27,Netanya - West,One and a half minutes
מג'דל שמס,701,2,Majdal Shams,Immediately
טובא זנגריה,479,6,Tuba-Zangariyye,30 Seconds
מיצד,742,17,Metzad,One and a half minutes
מעון צופיה,773,22,Maon Tzofia,One minute
אלוני יצחק,110,15,Alonei Itzhak,One and a half minutes
מעלה עירון,786,13,Ma'aleh Iron,One and a half minutes
אדורה,20,17,Adora,One and a half minutes
גבעת השלושה,293,8,Givat HaShlosha,One and a half minutes
נאות גולן,840,5,Neot Golan,15 Seconds
נטור,890,5,Natur,Immediately
זיקים,414,26,Zikim,15 Seconds
פתח תקווה,1071,8,Petach Tikva,One and a half minutes
גבעתיים,310,8,Givatayim,One and a half minutes
חמד,455,12,Hemed,One and a half minutes
ישע,1316,26,Mivtachim Amioz Yesha,15 Seconds
בית השיטה,190,4,Beit HaShita,One minute
נווה שלום,868,24,Neveh Shalom,One and a half minutes
צוקי ים,1312,27,Havatzelet HaSharon and Tzukei Yam,One and a half minutes
בני דרום,239,22,Bnei Darom,45 Seconds
אשדות יעקב מאוחד,147,5,Ashdot Yaakov Meuhad,One minute
זמרת,419,26,Zimrat and Shuva,15 Seconds
כפר יסיף,622,6,Kfar Yassif,30 Seconds
מטע,739,24,Mata,One and a half minutes
צפת,1092,6,Safed,30 Seconds
גן נר,338,34,Gan Ner,One minute
כפר כמא,624,7,Kfar Kama,One minute
בני עטרות,243,21,Bnei Atarot,One and a half minutes
טורעאן,480,23,Turan,One minute
כפר יחזקאל,621,34,Kfar Yechezkel,One minute
ערוער - ערערה בנגב,1041,9,Ar'ara BaNegev,One and a half minutes
אכסאל,97,34,Iksal,One minute
מע'אר,766,23,Maghar,One minute
בית הלל,187,30,Beit Hillel,Immediately
בני ציון,245,27,Bnei Zion,One and a half minutes
קציר,1114,13,Katzir,One and a half minutes
מעון,772,17,Ma'on,One and a half minutes
יד נתן,506,22,Yad Natan,30 Seconds
מייסר,741,13,Meiser,One and a half minutes
אחיהוד,83,6,Achihud,One minute
תאשור,1271,16,Ta'ashur,30 Seconds
פלך,1058,6,Pelekh,30 Seconds
יפית,531,3,Yafit,One and a half minutes
עילוט,979,34,Ilut,One minute
אפיק,134,5,Afik,Immediately
אזור תעשייה קריית גת,1358,22,Industrial area Kiryat Gat,45 Seconds
נס עמים,917,6,Ness Amim,30 Seconds
תחנת רכבת כפר יהושוע,1353,34,Kfar Yehoshua train station,One minute
אזור תעשייה מבואות הגלבוע,58,34,Mevuot HaGilboa Industrial Zone,One minute
דקל,379,26,Dekel,15 Seconds
אושה,41,11,Usha,One minute
אלון הגליל,105,34,Alon HaGalil,One minute
מעיין צבי,776,15,Ma'ayan Zvi,One and a half minutes
בוסתן הגליל,165,6,Bustan HaGalil,30 Seconds
אורות,36,22,Orot,45 Seconds
גן שלמה,340,12,Gan Shlomo,One and a half minutes
גבעות גורל,1372,25,Givat Goral,45 Seconds
אורון תעשייה ומסחר,1384,9,Oron Industrial Zone,One and a half minutes
שעלבים,1253,21,Sha'alabim,One and a half minutes
בארות יצחק,162,21,Be'erot Itzhak,One and a half minutes
מבשרת ציון,699,20,Mevasseret Zion,One and a half minutes
חצב,465,22,Hatzav,One minute
חרשים,476,6,Harashim,30 Seconds
מטווח ניר עם,1348,26,Nir- Um shooting range,15 Seconds
מתחם צומת שוקת,836,25,Shoket Junction Center,One and a half minutes
צור נתן,1084,27,Tzur Natan,One and a half minutes
מבטחים,697,26,Mivtachim Amioz Yesha,15 Seconds
מבוא ביתר,690,24,Mevo Beitar,One and a half minutes
עין העמק,992,13,Ein HaEmek,One and a half minutes
גיאה,321,19,Ge'a,30 Seconds
מתחם פי גלילות,1357,8,Pi Glilot compound,One and a half minutes
סופה,942,26,Sufa,15 Seconds
רגבים,1147,13,Regavim,One and a half minutes
כפר מנחם,631,24,Kfar Menachem,One minute
שאנטי במדבר,1190,9,Shanti BaMidbar,One and a half minutes
צובה,1075,24,Tzuba,One and a half minutes
אזור תעשייה צמח,67,7,Tzemach Industrial Zone,30 Seconds
תראבין,1305,25,Tirabin,45 Seconds
נערן,923,3,Niran,One and a half minutes
נטעים,892,12,Neta'im,One and a half minutes
פתחיה,1072,12,Ptachia,One and a half minutes
גבעת וולפסון,294,14,Givat Wolfson,One minute
קרית ארבע,1129,17,Kiryat Arba,One and a half minutes
אזור תעשייה צפוני אשקלון,68,19,Ashkelon Northern Industrial Zone,30 Seconds
כפר סירקין,640,8,Kfar Sirkin,One and a half minutes
אבשלום,19,26,Avshalom,15 Seconds
יציץ,535,12,Yatzitz,One and a half minutes
צופים,1077,27,Tzofin,One and a half minutes
שוקדה,1228,26,Shokeda,15 Seconds
שכניה,1240,23,Shekhanya,One minute
בית קמה,224,25,Beit Kama,45 Seconds
מולדת,721,4,Moledet,One minute
נס ציונה,918,12,Ness Ziona,One and a half minutes
דיר אל-אסד,370,6,Deir al-Asad,30 Seconds
כוכב יעקב,559,10,Kokhav Ya'akov,One and a half minutes
כפר גליקסון,592,15,Kfar Glickson,One and a half minutes
משען,833,19,Mishan,30 Seconds
טל שחר,489,24,Tal Shachar,One and a half minutes
ורד יריחו,410,18,Vered Yericho,One and a half minutes
רמת השרון,1177,8,Ramat HaSharon,One and a half minutes
מתן,837,27,Matan,One and a half minutes
נחשון,887,24,Nachshon,One and a half minutes
כפר מימון,627,26,Kfar Maimon and Tushia,15 Seconds
ברק,1326,34,Hever Settlements,One minute
כישור,568,6,Kishor,30 Seconds
כעביה טבאש,578,34,Ka'abiyye Tabbash,One minute
עזריאל,972,27,Azriel,One and a half minutes
בת חן,268,27,Bat Chen,One and a half minutes
אזור תעשייה עד הלום,62,22,Ad Halom Industrial Zone,45 Seconds
רביבים,1144,9,Revivim,One and a half minutes
אזור תעשייה אכזיב מילואות,43,30,Achziv Miluot Industrial Zone,Immediately
מרחביה קיבוץ,811,34,Merhavia Kibbutz,One minute
בני יהודה,241,5,Bnei Yehuda and Givat Yoav,15 Seconds
נחשונים,888,21,Nachshonim,One and a half minutes
אזור תעשייה עמק חפר,64,27,Emek Heffer Industrial Zone,One and a half minutes
אוהד,1371,26,Tzohar,15 Seconds
אשתאול,154,24,Eshtaol,One and a half minutes
קרית חינוך מרחבים,1131,16,Merhavim Educational Campus,45 Seconds
סנסנה,949,25,Sansana,One minute
אזור תעשייה דימונה,49,9,Dimona Industrial Zone,One and a half minutes
הגושרים,383,30,HaGoshrim,Immediately
עין דור,986,34,Ein Dor,One minute
כפר אדומים,580,17,Kfar Edomim,One and a half minutes
קיבוץ מגידו,708,13,Megiddo,One and a half minutes
בצרה,251,27,Batzra,One and a half minutes
נווה מיכאל - רוגלית,867,24,Neveh Michael (Rogalit),One and a half minutes
רמת צבי,1181,34,Ramat Zvi,One minute
תל שבע,1286,25,Tel Sheva,One and a half minutes
שושנת העמקים,1231,27,Shoshanat Ha'Amakim,One and a half minutes
כליל,570,6,Klil,30 Seconds
ניר ח''ן,904,22,Nir Chen,30 Seconds
כפר תקווה,655,34,Kfar Tikva,One minute
סתריה,954,12,Sitria,One and a half minutes
ארסוף,142,27,Arsuf,One and a half minutes
צבעון,1074,30,Zivon,Immediately
מזרע,733,34,Mizra,One minute
אודים,23,27,Udim,One and a half minutes
רמת דוד,1173,34,Ramat David,One minute
חניאל,460,27,Haniel,One and a half minutes
מעלה עמוס,787,17,Ma'aleh Amos,One and a half minutes
ינוח-ג'ת,521,6,Yanuh-Jat,30 Seconds
פרדסיה,1068,27,Pardessiya,One and a half minutes
גן יאשיה,336,27,Gan Yoshia,One and a half minutes
אלקוש,125,30,Alkosh,Immediately
כלא דמון,569,14,Damon Priosn,One minute
עין החורש,989,27,Ein HaHoresh,One and a half minutes
גמזו,332,21,Gimzo,One and a half minutes
עין כרמל,1003,14,Ein Carmel,One minute
שדה ורבורג,1204,27,Sdeh Warburg,One and a half minutes
שדרות,1221,26,Sderot,15 Seconds
גבעת הראל וגבעת הרואה,1367,10,Gival Harel and Gival Haroe,One and a half minutes
יזרעאל,515,34,Yizre'el,One minute
יובל,510,30,Kfar Yuval,Immediately
גבעת כ''ח,303,21,Giv'at Ko'ah,One and a half minutes
נופי נחמיה,871,10,Nofei Nehemiah,One and a half minutes
מעלה שומרון,789,10,Ma'aleh Shomron,One and a half minutes
יסוד המעלה,523,6,Yesud Hama'ala,30 Seconds
גבעת יואב,1309,5,Bnei Yehuda and Givat Yoav,15 Seconds
דגניה א,362,7,Degania Alef,One minute
אליכין,114,27,Elyachin,One and a half minutes
תעשיון חצב,1299,21,Hatzav Industrial Zone,One and a half minutes
שדה בוקר,1202,9,Sdeh Boker,One and a half minutes
קטורה,1107,29,Ktura,One and a half minutes
שפיר,1260,22,Shafir,45 Seconds
אלי עד,112,5,Eliad,Immediately
אעבלין,133,23,Ibillin,One minute
מגדל,703,7,Migdal,One minute
גילון,1320,6,Gilon Tzurit,30 Seconds
משמר הירדן,826,6,Mishmar HaYarden,30 Seconds
משמר השרון,830,27,Mishmar HaSharon,One and a half minutes
